customer_id,transaction_amount,merchant_category,merchant_country,payment_method,transaction_hour,is_weekend,account_age_days,avg_txn_amount_30d,txn_count_24h,is_new_merchant,geo_distance_km,ip_change,device_trusted,is_high_risk_country,velocity_score,fraud_label
CUST_0,70.39,travel,BR,mobile_wallet,10,1,2311,192.22,7,0,17.69,0,1,1,3,0
CUST_1,451.52,travel,CN,POS,4,0,1981,84.14,8,0,20.35,0,0,0,0,0
CUST_2,197.51,digital_services,IN,POS,0,0,432,109.71,7,1,9.45,0,0,0,1,0
CUST_3,136.94,fashion,BR,online,10,0,2428,144.24,3,0,9.22,0,0,0,7,0
CUST_4,25.44,travel,US,POS,10,1,3268,120.18,3,0,7.56,0,0,0,4,0
CUST_5,25.44,food,RU,online,5,0,1201,99.3,9,1,6.97,0,0,0,4,0
CUST_6,8.98,travel,US,online,22,1,2105,114.8,7,0,0.77,0,0,0,2,0
CUST_7,301.68,food,RU,online,7,0,288,98.7,1,0,79.2,0,1,0,0,0
CUST_8,137.86,travel,DE,POS,1,0,3699,111.09,3,0,22.61,0,0,0,5,0
CUST_9,184.69,food,RU,contactless,14,0,649,133.67,1,0,2.86,0,1,0,0,0
CUST_10,3.12,travel,DE,online,22,0,1495,83.72,6,1,22.41,0,0,0,3,0
CUST_11,525.53,travel,CN,contactless,21,0,2003,157.82,2,0,6.61,0,0,0,3,0
CUST_12,267.96,groceries,DE,mobile_wallet,8,0,1991,122.54,7,0,9.3,0,0,0,2,0
CUST_13,35.8,food,IN,POS,14,0,1682,99.58,8,0,40.38,0,0,0,3,0
CUST_14,30.1,food,DE,POS,7,0,905,108.95,6,0,54.25,0,0,0,5,0
CUST_15,30.39,food,IN,contactless,15,0,1580,160.86,5,0,30.08,0,0,0,5,0
CUST_16,54.41,electronics,BR,mobile_wallet,13,0,1264,148.64,4,0,67.42,0,0,0,5,0
CUST_17,111.59,travel,BR,mobile_wallet,14,1,3931,128.4,9,1,58.85,0,1,1,5,0
CUST_18,84.83,food,RU,online,19,0,572,98.98,8,0,20.03,0,0,0,3,0
CUST_19,51.63,digital_services,RU,POS,12,1,3546,139.89,5,0,59.61,0,0,0,6,0
CUST_20,141.96,electronics,RU,mobile_wallet,8,0,3895,120.5,1,0,19.69,0,0,0,6,0
CUST_21,22.54,groceries,DE,mobile_wallet,0,0,482,181.1,8,0,2.75,0,0,0,1,0
CUST_22,51.83,food,RU,online,5,1,2774,118.69,8,0,44.22,0,0,0,5,0
CUST_23,68.44,food,DE,online,7,0,433,178.93,7,0,3.52,0,0,1,4,0
CUST_24,91.34,electronics,DE,contactless,19,0,1048,126.82,7,0,9.49,0,0,0,9,0
CUST_25,230.69,travel,UK,POS,17,0,3167,83.71,8,0,11.94,0,0,0,0,0
CUST_26,33.41,digital_services,UK,mobile_wallet,17,0,1458,235.39,1,0,41.16,0,0,1,2,0
CUST_27,108.3,groceries,DE,contactless,16,0,912,69.36,3,0,2.18,1,0,0,8,1
CUST_28,134.63,food,BR,POS,20,1,1881,50.81,4,0,14.72,0,0,0,8,0
CUST_29,7.13,travel,IN,contactless,15,0,604,47.38,6,0,14.35,0,0,1,9,1
CUST_30,140.3,digital_services,CN,POS,12,0,1488,215.89,9,0,21.82,0,0,0,8,0
CUST_31,28.04,digital_services,US,POS,21,1,3329,194.34,4,0,10.92,0,0,0,9,0
CUST_32,10.09,groceries,UK,mobile_wallet,3,0,1529,125.04,6,0,21.52,0,0,0,4,0
CUST_33,446.05,fashion,DE,POS,3,0,1521,135.19,9,0,106.53,0,0,0,5,0
CUST_34,505.59,digital_services,US,online,20,0,3202,128.78,9,0,1.86,0,1,0,8,0
CUST_35,247.85,fashion,UK,mobile_wallet,13,0,2500,58.03,6,0,51.91,0,0,0,3,0
CUST_36,54.49,digital_services,CN,online,4,1,3457,171.06,5,0,9.23,0,0,0,3,0
CUST_37,15.42,groceries,IN,contactless,15,0,1192,166.48,3,0,15.67,0,0,0,8,0
CUST_38,172.91,electronics,DE,contactless,13,0,3732,76.91,5,0,33.78,0,0,0,6,0
CUST_39,87.01,groceries,CN,POS,13,0,3670,131.4,3,0,60.21,0,0,0,5,0
CUST_40,19.52,groceries,BR,POS,13,1,3232,117.43,5,0,0.23,0,0,1,9,1
CUST_41,102.53,electronics,UK,online,23,0,2626,112.61,1,0,27.13,0,0,0,5,0
CUST_42,5.25,electronics,DE,online,13,1,2545,96.23,6,0,1.8,0,1,0,4,0
CUST_43,360.06,travel,US,online,18,1,3581,116.07,7,0,18.65,0,0,0,3,0
CUST_44,44.92,digital_services,BR,contactless,2,0,140,101.56,2,0,34.63,0,0,0,2,0
CUST_45,162.94,travel,BR,online,16,0,2230,157.25,3,0,4.64,0,0,0,6,0
CUST_46,56.03,electronics,RU,mobile_wallet,13,0,2994,119.03,9,0,36.08,0,0,0,4,0
CUST_47,110.12,fashion,IN,mobile_wallet,9,0,2839,95.76,8,0,9.26,0,0,0,1,0
CUST_48,118.68,fashion,BR,contactless,12,1,3343,119.12,4,0,23.58,0,0,0,2,0
CUST_49,30.66,groceries,UK,online,21,0,2797,115.05,8,0,26.83,0,0,1,4,0
CUST_50,523.92,food,IN,online,3,0,2957,113.58,8,0,26.17,0,0,0,8,0
CUST_51,223.84,groceries,DE,POS,10,0,711,143.7,6,1,0.47,0,1,0,5,0
CUST_52,420.76,groceries,RU,mobile_wallet,14,1,798,110.32,1,0,4.13,0,0,0,1,0
CUST_53,337.82,food,CN,contactless,14,0,308,100.01,2,0,48.48,0,0,0,7,0
CUST_54,136.66,digital_services,IN,online,23,0,392,72.4,4,0,70.27,0,1,0,5,0
CUST_55,382.42,electronics,US,POS,1,0,1678,119.7,4,0,20.73,1,0,0,5,0
CUST_56,13.9,fashion,UK,contactless,10,0,1461,163.59,2,0,22.72,0,0,0,7,0
CUST_57,32.72,groceries,US,contactless,1,0,1228,115.67,9,0,35.17,0,0,0,6,0
CUST_58,6.94,food,IN,mobile_wallet,22,0,630,102.44,2,0,13.03,0,0,0,4,0
CUST_59,59.03,travel,RU,online,4,0,1188,93.5,6,0,9.94,0,0,0,8,0
CUST_60,73.82,groceries,CN,contactless,12,0,3607,59.67,5,0,36.55,0,0,0,0,0
